distance_Angstrom,PBE,Ang,distance_Angstrom,TS,distance_Angstrom,Ang,FT
0.8,14.26334779,0.1,-4304.565497,0.1,-2.039978027,0.6,21.71395465
0.9,2.40098884,0.2,2297.272486,0.2,-1.852416992,0.7,1.533375568
1,-3.72718647,0.3,4327.65976,0.3,-1.510742188,0.8,-2.143613156
1.1,-6.1869397,0.4,2862.652287,0.4,-1.233032227,0.9,-4.840357291
1.2,-6.91981779,0.5,812.243147,0.5,-1.284423828,1,-6.279875815
1.3,-6.76332934,0.6,150.2039744,0.6,-1.680786133,1.1,-7.178260501
1.4,-6.18146775,0.7,43.60370995,0.7,-2.633789063,1.2,-7.594594743
1.5,-5.41360948,0.8,16.93353942,0.8,-3.401428223,1.3,-7.450472827
1.6,-4.586102,0.9,3.859668631,0.9,-3.563720703,1.4,-6.94127062
1.9,-2.29405451,1,-2.43736341,1,-4.072570801,1.5,-6.347278969
2,-1.65793755,1.1,-5.233646654,1.1,-4.813110352,1.6,-5.632675713
2.1,-1.36526377,1.2,-6.154154994,1.2,-5.224853516,1.7,-4.856858516
2.3,-1.15169179,1.3,-6.102594428,1.3,-5.128112793,1.8,-4.061652849
2.8,-0.61484675,1.4,-5.594545792,1.4,-4.688049317,1.9,-3.209774104
3.3,-0.27345703,1.5,-4.78708827,1.5,-4.178955078,2,-2.45178274
4,-0.03607417,1.6,-3.917176328,1.6,-3.661560059,2.1,-1.83831727
5,0,1.7,-3.096131367,1.7,-3.067138672,2.2,-1.325066103
6,0,1.8,-2.350341514,1.8,-2.441467285,2.3,-0.906931319
7,0,1.9,-1.771654506,1.9,-1.856079102,2.4,-0.58653153
8,0,2,-1.488380398,2,-1.300598145,2.5,-0.359977
,,2.1,-1.371034286,2.1,-0.772399902,2.6,-0.200550321
,,2.2,-1.250723,2.2,-0.325500488,2.7,-0.079684464
,,2.3,-1.094097785,2.3,0.007080078,2.8,0.014899469
,,2.4,-0.90870753,2.4,0.234191894,2.9,0.087148239
,,2.5,-0.716007276,2.5,0.37298584,3,0.138856609
,,2.6,-0.541079762,2.6,0.442138672,3.1,0.172402338
,,2.7,-0.397994674,2.7,0.466125488,3.2,0.191911129
,,2.8,-0.288853289,2.8,0.469665527,3.3,0.202600826
,,2.9,-0.208197588,2.9,0.466796875,3.4,0.209091333
,,3,-0.149020249,3,0.458557129,3.5,0.214058448
,,3.1,-0.105590606,3.1,0.441467285,3.6,0.21790285
,,3.2,-0.072832317,3.2,0.415283203,3.7,0.219513932
,,3.3,-0.046513015,3.3,0.383422851,3.8,0.217600465
,,3.4,-0.024354346,3.4,0.34967041,3.9,0.211636991
,,3.5,-0.005800537,3.5,0.316467285,4,0.202001297
,,3.6,0.009208274,3.6,0.286071777,4.1,0.189611793
,,3.7,0.020876346,3.7,0.260375976,4.2,0.175491822
,,3.8,0.029456507,3.8,0.239746094,4.3,0.160485036
,,3.9,0.035162093,3.9,0.222229004,4.4,0.145179509
,,4,0.038266278,4,0.204895019,4.5,0.129964119
,,4.1,0.039138043,4.1,0.185241699,4.6,0.115095922
,,4.2,0.038165374,4.2,0.163024902,4.7,0.100722959
,,4.3,0.035700972,4.3,0.139709473,4.8,0.086878453
,,4.4,0.032087635,4.4,0.117553711,4.9,0.073494565
,,4.5,0.027706318,4.5,0.098022461,5,0.060481874
,,4.6,0.022985662,4.6,0.081298828,5.1,0.04786668
,,4.7,0.018357016,4.7,0.066650391,5.2,0.035902874
,,4.8,0.014170519,4.8,0.053527832,5.3,0.025066191
,,4.9,0.010617151,4.9,0.041992188,5.4,0.01591576
,,5,0.00771679,5,0.032409668,5.5,0.008892409
,,5.1,0.005388737,5.1,0.024902344,5.6,0.004147167
,,5.2,0.00354666,5.2,0.019042969,5.7,0.001465663
,,5.3,0.002143922,5.3,0.014221191,5.8,3.17E-04
,,5.4,0.001154569,5.4,0.00994873,5.9,2.12E-05
,,5.5,0.000533579,5.5,0.006225586,6,0
,,5.6,0.000200696,5.6,0.003234863,7,0
,,5.7,5.62E-05,5.7,0.001220703,8,0
,,5.8,9.65E-06,5.8,3.05E-04,,
,,5.9,5.38E-07,5.9,0,,
,,6,0,6,0,,
,,7,0,7,0,,
,,8,0,8,0,,
