ZS,FT,MHFT
0.043376265,-59.63698592,27.80329497
2.268297446,-63.0129567,25.0571175
-4.062106173,-62.6655842,18.91322299
-23.38374341,-56.55127072,12.6868273
3.797393742,-58.7277184,32.92956978
0.276557751,-62.76794988,22.47758185
-5.373551202,-60.50575455,20.97492144
4.412491521,-62.96773178,26.61302174
0.910787786,-62.71957724,23.48844667
4.568945068,-58.7738071,33.27810702
0.136323736,-60.97524378,25.48459309
-3.747927424,-59.52027245,22.74626558
-2.514197818,-61.98059787,21.73784048
-12.23071328,-54.78908944,24.08101072
-23.25708794,-40.02684089,-12.9349952
-20.97027398,-53.75184006,-16.9365129
-29.49181966,-40.58938348,-19.0348811
-20.96794439,-45.94273708,-14.2310894
-23.68708466,-52.17140293,-18.63707964
-20.88809625,-42.30246916,-12.650235
-22.45394457,-48.95436898,-16.28913155
-21.57525137,-48.36001746,-15.56110517
-24.05586806,-53.26584893,-19.45415125
-25.85619978,-52.996935,-20.81242229
-23.26942509,-46.3138027,-16.08787939
-26.39093706,-42.43825003,-17.1323861
6.847609692,-83.4656726,6.80256022
21.15868978,-84.87268737,13.48857886
21.38095099,-83.61444048,9.310379119
6.348567454,-78.51462969,2.656950382
19.61627902,-81.15757323,20.01328352
17.48112691,-80.79214719,16.20715548
21.07772437,-82.73229817,10.95329172
19.23565624,-83.13198743,14.83769853
15.56597303,-81.80037129,16.84685013
22.17817438,-83.77333185,16.04185094
20.92753956,-82.4303645,13.87984345
15.75061739,-82.75308223,8.577930501
21.96467164,-83.78192057,10.61217067
14.69337816,-79.50070415,10.86524729
-28.55248419,-81.4492799,-8.973323876
-17.94807379,-79.29894328,-1.025400892
-27.07932431,-80.90856356,-17.58175327
-36.60192744,-80.33728192,-21.66313545
-18.02670484,-77.21023722,3.868244223
-29.00760113,-79.09346325,-9.707086682
-26.32028081,-80.12674993,-13.41330042
-21.10039669,-79.18762977,-1.813973507
-32.03590286,-78.49499998,-5.258399269
-16.19996426,-78.39590748,1.739429474
-24.00994591,-78.95102609,-8.100715565
-29.90301679,-80.62568508,-16.19398745
-26.10619432,-79.08783913,-9.737806071
-31.29610959,-79.05617157,-13.6550544
