Ang,PBE,Ang,M3GNet,Ang,MACE,Ang,SevenNet,Ang,ORBv2,Ang,eqV2
2,2.60682046,1.7,23.24333,1.7,31.34154,1.7,16.12881,1.7,11.19518,1.7,9.399103
2.1,-0.27051862,1.8,15.95532,1.8,21.46692,1.8,11.67808,1.8,9.729694,1.8,9.198354
2.2,-2.20073411,1.9,10.37997,1.9,13.3303,1.9,8.283115,1.9,6.899279,1.9,7.636528
2.3,-3.45763007,2,6.460652,2,7.858064,2,4.267707,2,4.004722,2,5.424995
2.4,-4.23100912,2.1,3.463404,2.1,4.418381,2.1,1.349142,2.1,1.390795,2.1,2.871861
2.5,-4.65759708,2.2,1.3159,2.2,2.175699,2.2,-0.4812572,2.2,-0.5596251,2.2,0.9580765
2.6,-4.83713017,2.3,-0.01897669,2.3,0.6528955,2.3,-1.732416,2.3,-1.786366,2.3,-0.5812688
2.7,-4.84228982,2.4,-0.99869,2.4,-0.4015412,2.4,-2.46152,2.4,-2.534073,2.4,-1.956897
2.8,-4.72634989,2.5,-1.877824,2.5,-1.139435,2.5,-2.853343,2.5,-2.961675,2.5,-2.803267
2.9,-4.52853249,2.6,-2.353342,2.6,-1.605135,2.6,-3.035884,2.6,-3.127415,2.6,-3.163574
3,-4.27775384,2.7,-2.619315,2.7,-1.849499,2.7,-3.055851,2.7,-3.11645,2.7,-3.233703
3.5,-2.79942822,2.8,-2.750233,2.8,-1.931898,2.8,-2.951387,2.8,-2.99741,2.8,-3.106432
4,-1.59123282,2.9,-2.812535,2.9,-1.906796,2.9,-2.75787,2.9,-2.7847,2.9,-2.880129
5,-0.40419779,3,-2.813382,3,-1.81853,3,-2.509495,3,-2.534509,3,-2.647902
6,-0.0652133,3.1,-2.745016,3.1,-1.696616,3.1,-2.232016,3.1,-2.274767,3.1,-2.374729
,,3.2,-2.631825,3.2,-1.554442,3.2,-1.950669,3.2,-2.011739,3.2,-1.973014
,,3.3,-2.464806,3.3,-1.404248,3.3,-1.691487,3.3,-1.74367,3.3,-1.479378
,,3.4,-2.266359,3.4,-1.253223,3.4,-1.461713,3.4,-1.496559,3.4,-0.9647593
,,3.5,-2.058499,3.5,-1.110425,3.5,-1.266461,3.5,-1.303334,3.5,-0.5541749
,,3.6,-1.839761,3.6,-0.977713,3.6,-1.101571,3.6,-1.165793,3.6,-0.3994832
,,3.7,-1.623893,3.7,-0.856617,3.7,-0.9609754,3.7,-1.058131,3.7,-0.3498759
,,3.8,-1.430203,3.8,-0.7488542,3.8,-0.8419864,3.8,-0.9559078,3.8,-1.539733
,,3.9,-1.25632,3.9,-0.6520381,3.9,-0.7368822,3.9,-0.8507423,3.9,-1.108088
,,4,-1.084476,4,-0.5672078,4,-0.6442263,4,-0.7406993,4,-0.6599035
,,4.1,-0.9064727,4.1,-0.4926569,4.1,-0.5624986,4.1,-0.6389413,4.1,-0.204659
,,4.2,-0.7273479,4.2,-0.4281495,4.2,-0.4915729,4.2,-0.5512133,4.2,0.03648138
,,4.3,-0.556704,4.3,-0.3726082,4.3,-0.4201655,4.3,-0.4767542,4.3,-0.3258219
,,4.4,-0.4049745,4.4,-0.3241203,4.4,-0.3530998,4.4,-0.4226828,4.4,-0.3235922
,,4.5,-0.2800672,4.5,-0.2827597,4.5,-0.2959175,4.5,-0.3867226,4.5,-0.1728401
,,4.6,-0.1863315,4.6,-0.244751,4.6,-0.2332287,4.6,-0.361567,4.6,-0.2450304
,,4.7,-0.1266949,4.7,-0.2116714,4.7,-0.1631455,4.7,-0.3300204,4.7,-0.3942251
,,4.8,-0.08845639,4.8,-0.1802831,4.8,-0.09102201,4.8,-0.2900019,4.8,-0.3635311
,,4.9,-0.04852843,4.9,-0.1521187,4.9,-0.02481604,4.9,-0.2502842,4.9,-0.3240314
,,5,0,5,-0.1261625,5,0,5,-0.220377,5,-0.249289
,,5.1,0,5.1,-0.1009626,5.1,0,5.1,-0.1933875,5.1,0.06390429
,,5.2,0,5.2,-0.07794905,5.2,0,5.2,-0.1624346,5.2,-0.04532146
,,5.3,0,5.3,-0.05618572,5.3,0,5.3,-0.1292257,5.3,-0.009479523
,,5.4,0,5.4,-0.03601646,5.4,0,5.4,-0.09593105,5.4,0.01680851
,,5.5,0,5.5,-0.0205102,5.5,0,5.5,-0.0737114,5.5,0.1060629
,,5.6,0,5.6,-0.0099206,5.6,0,5.6,-0.05509663,5.6,0.04550838
,,5.7,0,5.7,-0.00396347,5.7,0,5.7,-0.03481293,5.7,-0.04345179
,,5.8,0,5.8,-0.000656128,5.8,0,5.8,-0.01038647,5.8,0.1738877
,,5.9,0,5.9,-2.14576E-05,5.9,0,5.9,-0.00113678,5.9,0.1313672
,,6,0,6,0,6,0,6,0,6,0.2802215
